 ,要件ID,大分類,画面名,コンポーネント,誰向け,ユーザーストーリー,説明,受け入れ条件,マストか否か
サインイン,S-01-01,サインイン,ユーザー登録画面,ユーザー登録,"マネージャー, メンバー",システムに入れる,"googleSAMLログインを使用し認証
→プロフィール登録に移る","- 正しい認可のもとサインインできる
",must
アカウント新規・プロフィール登録,S-01-02,サインイン,プロフィール登録画面,入力フォーム,"マネージャー, メンバー",Googleサインイン,プロフィールを登録できる機能,"プロフィールの登録後、アカウントが存在している
必須項目
- google認証より
（姓、名、氏名、プロフィール写真URL（デフォルト））
- 趣味
- LinkedInリンク
- 職種・役職
- 得意な分野
- チームにいつからいるのか
- プロジェクトにいつからいるのか
- 職歴

任意項目
",must
ログイン,S-01-03,サインイン,ログイン画面,ログイン,"マネージャー, メンバー",ログインして→チームに属します,"googleSAMLログインを使用し認証
","- 正しい認可のもとログインできる
",must
ログアウト,S-01-04,サインイン,ログアウト確認画面,ボタン,"マネージャー, メンバー",Googleアカウントを間違えた時用にサインアウトできるようにしたい,googleSAMLログインを使用し認証,- ログアウトできる,must
アラート一覧ボード,S-02-01,アラート,TOP画面（マネージャー）,一覧表示,マネージャー,メンバーではトップページとして最初に表示される,複数のPJのアラートが一覧化されているボード,複数のpjのアラートが表示される,want
アラート一覧,S-02-02,アラート,アラート一覧画面,一覧表示,"マネージャー, メンバー",詳細ページは別途必要になったら要件として足します。現状としては、一覧ボード上で閲覧できればおk,一つのPJの内の今までトリガーされた・現在進行形でのアラートの一覧,,want
pj進捗遅延アラート,S-02-03,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",遅延に早く気づきたい,PJ全体の確認ライン未達時にアラートを出す,%を計算し進捗の悪いpjが通知される,want
issue進捗遅延アラート,S-02-04,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",遅延に早く気づきたい,Issueの確認ライン未達時にアラートを出す,%を計算し進捗の悪いissueが通知される,want
稼働不足アラート,S-02-05,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",計画破綻を防ぎたい,タスク量に対して稼働予定が少ない場合に通知,稼働予定時間<必要工数で通知される,want
情報断絶アラート,S-02-06,アラート,アラート一覧画面,アラートカード,"マネージャー, メンバー",休暇に伴う情報の停滞を防ぐ,メンバー不在の際に、その人が担当しているエリア・業務領域について相談できないこ可能性の通知,関連メンバーと依存関係が表示される,want
